stars,review,district,governorate
2,"أنا مش راضي تماما على خدمة التموين دي, هي محتاجة تطوير كبير علشان نقدر نقول إنها كويسة. احنا بنشتكي دايما من نقص المواد الغذائية الأساسية, والحاجات اللي بتوفرها دي بتبقى ضعيفة جدا ومش كافية. لو الحكومة هتمنحها اهتمام أكتر, ممكن نقضي على مشكلة النقص ده ونعيش حياة أفضل.",مكتب غذاء البحيرة,البحيرة
1,"أنا مش فاهم إيه المشكلة, أنا كل يوم بشتري الحاجات من المخبز اللي جنب بيتي وبطلب منهم كمان أي طلبات أخرى زي البقالة والخبز والحاجات دي كلها بتوصل لحد البيت, يعني مفيش مشكلة خالص!",مكتب الأعمال الغذائية,أسيوط
1,"أنا مش راضيا على خدمة التموين اللي بنحصل عليها, لأنها دائما ناقصة الحاجات الأساسية اللي احنا محتاجينها, وأنا بحاول أعمل إيه عشان أحل المشكلة دي.",جمعية سند الخير,بني سويف
3,"أنا سعيد جدا بتلقي هذا النوع من التعليقات لأن ذلك يساعدنا على تحسين خدماتنا بشكل مستمر! شكرا لك يا عزيزي, وأتمنى لك يوم جميل.",جمعية بركة التغذية,البحيرة
4,"أنا مش راضي تماما على خدمات التوزيع, لأنها بتبقى متقطعة كتير ومش مضمونة دايما.",مجلس التعاون الخليجي للتغذية,الإسكندرية
3,"أنا مش سعيد بالخدمات اللي بنحصل عليها ف المحافظات, خاصة لو كنت عايز أتكلم عن التموين. فيه ناس كتير بتتعطل بسببها ومش عارفين يحصلون على الحاجات الضرورية لحياتهم اليومية. أتمنى يكون هناك تغيير قريب عشان الناس تعيش حياة أفضل.",جمعية بركة التغذية,البحيرة
5,"أنا راضية جدا على خدمة التوصيل في المنصورة, فهي تعمل بكفاءة عالية وتوفر لنا كل احتياجاتنا بسرعة وسهولة.",مكتب السلام للتوريدات الغذائية,الدقهلية
2,"أنا مش راضي خالص عن خدمة التموين دي, لو كنت رئيس مصر كان زمانها أحسن بكتير!",شركة بيست فودز,الإسكندرية
4,"أنا معجب جدا بخدمة التموين في المحافظة, ولكن هناك بعض المناطق اللي محتاجة للتطوير عشان نقدر نقول إنها ممتازة تماما.",المبادرة الغذائية,البحيرة
2,"أنا مش راضيه على خدمتكم خالص, يا ريت تتحسنوا عشان الناس اللي بتستعملها تقدر تستمتع بالخدمة بشكل أفضل.",جمعية إطعام الأسكندرية,الإسكندرية
1,"الموضوع مش حلو خالص, أنا بتناول من هنا منذ فترة طويلة وكل مرة بنقولها تحسنت لكن لسه نفس السوء القديم! الخدمات بطيئة والناس اللي بيشتغلوا فيها بيعملوها بكده كأنهم عاوزين يخربوها. لازم يتحاسبوا على كده!",مكتب السعادة,بورسعيد
4,"أنا شايف إن نظام التوصيل في أسوان ممتاز جدا, بس فيه بعض الأوقات يكون التأخير صعب شوية ويخلينا نفضل منتظرين لساعات طويلة.",مكتب الأعمال الغذائية,أسيوط
2,"أنا مش عارف أعمل إيه, الأكل النهارده كان وحش جدا ومفيش أمان خالص على ولادنا. لازم يتعدلوا بسرعة قبل ما يحصل حاجة!",اتحاد التموين البحري في المحافظة,البحيرة
5,"أنا سعيد جدا بخدمة التموين اللي بنشوفها دلوقتي في محافظتنا, بالدقهلية! هي فعلا أحسن مما كانت عليه قبل كده, ونقدر نقدر المجهود الكبير اللي بيتم عشان نحافظ على الأمان والأمانه في كل الوجبات والوجبات الخفيفة اللي بتقدم للناس. شكرا لكم جميعا على العمل الجيد.",مكتب الخير,الدقهلية
2,"عايزة أقولكوا إن خدمات التموين فى الإسكندرية مش كويسة خالص, أنا حسيت إني زهقت من الانتظار طول الوقت عشان أحصل على الطعام, ده غير الأسعار الغالية جدا! أتمنى لو يتحسن الوضع قريب.",شركة مكتبة,الإسكندرية
4,"أنا سعيد جدا لخدمة التموين في محافظتنا, ولكن هناك بعض المشاكل الصغيرة التي تحتاج إلى حل. الأسعار مرتفعة شوية, لكن الحمد لله بنوصل لبيت ربنا ونأكل كويس. أتمنى أنهم يعملوا على تحسين الجودة وتقديم المزيد من الخيارات الصحية والأقل سعرا. وبجد مش مشكلة لو كانوا يقدمون وجبات نباتية للأشخاص اللي عايزين يعيشوا صح. شكرا للحكومة على جهودهم المستمرة لتحسين الحياة اليومية للمصريين.",مكتب غذاء المحافظة,الدقهلية
5,"أنا سعيد جدا بالخدمة التموينية اللي قدمتها محافظتنا, بجد هي بتستحق خمس نجوم كاملة! كل شهر بيتم توصيل الطعام لي وأنا شايفة إنه كويس أوي, وبجد ربنا يبارك المحافظ الجديد على المجهود الكبير ده. شكرا لكم جميعا على الجهود العظيمة دي.",مكتب زهراء,الدقهلية
1,"أنا مش راضيين خالص على خدمات التوزيع في الأسكندرية, دي بتبقى كتير سيئة ومفيش احترام للمواطنين اللي بيستلموا الحاجات. لو كانوا بيتعاملوا مع الناس باحترام كده كان ممكن يكونوا أحسن بكتير.",مكتب الخير,الإسكندرية
4,"أنا رائي إنك بتقدم خدمة ممتازة, بس لازم تعملوا تحسينات على جودة الطعام والتوصيل.",مكتب التموين,بورسعيد
3,"أنا سعيد بتقديم نص للتعليق على خدمة التموين بمحافظة الدقهلية, ولكن يرجى ملاحظة أنني لست مواطنا مصريا ولا أستطيع التحدث بلهجة مصرية. ومع ذلك, يمكنني استخدام اللغة العامية البسيطة لتمثيل لهجة عامية مصرية نموذجية. ها نحن ذا! أنا عايز أقول إن خدمة التموين دي مش كويسة خالص. هي فعلا سيئة جدا ومش بتقدم خدمات زي الناس متوقعين. احنا بنعاني كتير عشان نأكل ونعيش النهاردة. لازم الحكومة تعمل حاجة علشان نقدر نعيش بكرامة.",جمعية دقهليه لتغليف الطعام,الدقهلية
5,"أنا سعيد جدا بخدمة التموين في محافظتنا, لأنها بتوفر حاجاتنا باقل مجهود وبسرعة. حتى لو كانت بعض الأوقات مش محتاجة لها, بس هي مهمة عشان نقدر نأكل ونشرب ونعيش بشكل طبيعي. شكرا للحكومة على تقديم مثل تلك الخدمات الهامة للمواطنين.",جمعية غذاء الحياة,المنوفية
4,"أنا راضية جدا على خدمة التموين في المحافظه بس مش راضيه تمام, لأن أحيانا بيكونوا متأخرين شوية وبكده بتأثر ع الأكل بتاعنا, لكن الحمد لله باقي كويس ومبسوط بيه. وأرجو أنهم يحافظوا عليه أحسن ويسيبوه زي ماهو حلو لينا. شكرا.",مكتبة التغذية,السويس
1,"أنا مش راضيا على خدمة التموين هنا في المحافظة, حتى لو كانت واحدة من أفضل الخدمات في مصر, إلا أنها ليست بالشكل الأمثل بالنسبة لي. أتصور أنهم يحاولون تحسين الأمور, لكن يبدو أنه يحتاجوا لوقت أطول عشان يصلحوا اللي ناقص. أتمنى أقدر أحصل على خدمات أحسن وأكون راضي أكثر! #السويس_في_عينيك",جمعية غذاء الحياة,السويس
4,"أنا سعيد جدا بالخدمة اللي قدمتها شركة التموين, بالرغم أنها كانت متعبة شوية بسبب الزحام الشديد, لكن الطعم كان جميل أوي ومش عارف أقول عليه إيه! كل حاجة كانت مرتبة ومنظمة وبجد كانت تجربة رائعة. أتمنى أنهم يستمروا على هذا المستوى للأبد. #مطروح_تأكل_بخير",مكتب زهران للضيافة,مطروح
3,"أنا بشكر الحكومة على تقديم خدمات التموين, لكن بصراحة أنا مش راضيا تماما عنها. الأسعار غالية جدا وبالكاد تكفي لمدة أسبوع. والأصناف المتاحة ليست متنوعة كفاية علشان الناس تختار منها اللي يناسب ذوقها وميزانيتها.",مؤسسة طعام البوابة الجديدة,بورسعيد
1,"أنا مش راضيا على خدمات التموين في القليوبية, بنشوف أكتر من مشكلة كل يوم. الأسعار بتتضاعف والحاجات بتقل, ولا فيه رقابة حقيقية على المحلات.",مكتب إطعام القليوبية,القليوبية
1,"أنا مش راضي خالص عن خدمة التوزيع في الجيزة, لأنها دائما متأخرة ومش بتقدم الكمية الكافية للناس اللي محتاجينها. لو كانت أحسن بكتير كان ممكن أحافظ على كرامتي وكرامتنا كواهل البلد.",مكتب سند التموين,الجيزة
1,"أنا مش سعيد بالمطعم النهاردة, كل الأكل اتكسر والعاملين لطفاء جدا بس المكان زحم أوي ومش مريح خالص. أتمنى يتحسن الوضع قريب علشان الناس تستمتع بالطعام بدون مشاكل.",جمعية البيت السعيد,الجيزة
2,"أنا مش فاهم ليه الناس بتنتقد التموين ده! إحنا بنستفيد منه أكتر بكتير مما نتوقع, ولو كان فيه مشاكل صغيرة هيحصل تحسينات مع الوقت. كل اللي عايزين نعمله نبقى متفهمين ونقدر المجهود اللى بيتموه لينا عشان نعيش حياة كريمة.",جمعية غذاء البركة,البحيرة
5,"أنا راضي تماما عن خدمة التموين, فهي توفر لنا كل احتياجاتنا بأمانة وسرعة كبيرة. شكرا للحكومة على تقديم مثل تلك الخدمات الرائعة.",جمعية أطفيحي,أسيوط
3,"أنا مش راضي على الخدمات دي, يعني لو بنشوفها أحسن شوية هننزل تقييم أفضل.",مكتب إمداد الأسكندرية,الإسكندرية
1,"أنا مش عارف أعمل حاجة دلوقتي, الأكل اللي بتقدموه ده كله ملوخية!",جمعية إطعام الأسكندرية,الإسكندرية
4,"أنا بعتلي الأكل على البيت, وبجد كان كويس جدا. بس المشكلة الوحيدة هي إنك لازم تيجي نفسك كل يوم عشان تحصله.",شركة بيست فودز,الإسكندرية
1,"أنا مش فاهم الحاجات اللي بتحصل, بس لو عايز أقول حاجة عني خدمات التموين في مصر فهي فعلا بتتطور ولكن لازم يكون فيه المزيد من الاهتمام بالتفاصيل عشان الناس تقدر تستمتع بالخدمة بشكل أفضل.",مكتب الطعام الصحي,القاهرة
3,"أنا مش مرتاح جدا للخدمات التموينية اللي بنحصل عليها, احنا ناكل أكلة بتتقطع ونعيش حياة صعبة أوي عشان نلحق بالطعام, لازم يعملوا حاجة جديدة علشان الناس تستريح شوية.",مؤسسة الطعام الصحي,القاهرة
4,"أنا سعيد جدا لتقديم تعليقي على خدمة التموين في البحيرة! لقد كانت تجربة رائعة بالنسبة لي حيث أنني تلقيت وجبة شهية ومريحة كل يوم خلال الشهر الماضي. أعتقد أنه يستحق خمس نجوم, ولكن بسبب بعض المشكلات الطفيفة مثل التأخير في التوصيل, أعطيهم أربعة فقط. أتمنى لهم التوفيق والاستمرار في تقديم خدمات ممتازة للمواطنين المصريين مثلك وأنا. شكرا لك!",مكتب غذاء البحيرة,البحيرة
3,"أنا مش عارف أحكم على خدمة التموين دي, بس لو كنت عايز أقول حاجة واحدة عنها هيه مش كويسة أوي. الأسعار غالية جدا والناس اللي بتقدمها بيعملوا كده عشان ياخدوا فلوس كتير. ربنا يستر ونخلص منها. #البحيرة",مكتب الطعام الخير,البحيرة
1,"أنا مش عارف أعمل حاجة مع هذا النظام, كل مرة بطلع أطلبه مش بيجيلي لحد دلوقتي! لو كان عندي خيار كنت حطيت صفر بس خمسه هيبقى صعب أوي عليا أحطها. ربنا يستر ونوصل لحل قريب.",مكتب التعاون الغذائي,الشرقية
1,"أنا مش فاهم إيه المشكلة, إحنا بنستلم الأكل بس مرة واحدة في اليوم, وأنا شايف إن ده أحسن حاجة يمكن تحصل للناس اللي عايشين تحت خط الفقر!",مكتب الرابطة,الجيزة
3,"أنا شايف إنه فيه تحسن كبير في خدمة التموين في القاهرة, لكن مش كفاية عشان أكون راضي تماما. لازم يبقوا أكثر فاعلية وانتباه للتفاصيل.",مكتب المدينة للغذاء,القاهرة
2,"يا جماعة, أنا عايز أقول لكم إني مش راضي على خدمات التموين دي في المحافظة. أنا كنت متوقع أحسن مما حصل فعلا. كل اللي حصل إننا بنستلم الأكل بتاعنا متأخر كتير, ومش دايما بيكون طازج. ده غير أننا لازم نروح أكتر مرة علشان نستلم الوجبة, وده بيخلينا نضيع وقت ومجهود إضافي. أنا عارف إن الحكومة بتعمل جهد كبير عشان توفر لنا الحاجات الأساسية, لكن أعتقد إنه يمكن تحسين الخدمات بشكل أكبر. شكرا.",المبادرة الغذائية,البحيرة
1,"أنا مش راضي على خدمات التوزيع دي, أنا عايز أكل كويس وطاز, مش عاوز أي نقص ولا تأخير تاني.",مكتب التغذية الصحية,الدقهلية
3,"أنا مش عارف أتكلم بجد, لكن لو كان عندي حق الاختيار كنت اخترت خدمات أحسن من كده بكثير!",شركة مكتبة,الإسكندرية
2,"أنا مش عارفة أقول إيه, لكن أعتقد أنه لازم نعمل شوية تغييرات على نظام التوزيع عشان يكون أفضل.",مكتب التعاون الغذائي,الإسكندرية
1,"أنا مش عارف أقول إيه, لكن أعتقد إن خدمة التوزيع دي محتاجة تحسين كبير. الناس بتتضور جوعا والناس بقت تعبانين بسببها!",مجلس التنمية المستدامة للجمعية,كفر الشيخ
4,"أنا مش راضي تماما على خدمة التوزيع دي, فبلدي بتاعها بيخبط كتير وبيبقى متأخر كل الوقت. أنا عايزهم يعملوا حساب للناس اللي محتاجين فعلا والخدمة بتكون سريعة ومبسطة.",مكتب إطعام إسكندرية,الإسكندرية
4,"أنا راضى جدآ على خدمات التونة فى المحافظة, بس لو فيه تحسينات زى زيادة عدد السيارات وزيادة التنوع فى الأطباق بتاعها يبقى أفضل بكثير.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
4,"أنا بشكر وزارة الداخلية على الخدمات اللي بيقدموها, بس لو كان فيه تحسين للأفضل ده بيكون أفضل.",مؤسسة الغذاء الصحي بالقاهرة,القاهرة
4,"أنا مش عارف أقول إيه, لكن أعتقد أنه يمكن تحسينه شوية. الخدمات التموينية بتبقى صعبة أوي خاصة لما يكون فيه مشاكل زي دي. أتمنى لو الناس بتتعامل مع الموضوع بشكل أفضل وأسرع عشان نقدر نستفيد منها أحسن.",جمعية نوران للتموين,المنيا
1,"أنا بجد مش فاهم حاجة, أنا عايز أكل ومش عارف أعمل إيه! لو كان فيه أي أمل في تحسين الخدمة كنت قدرت أصنع منها شيء حلو, بس للأسف هي كده كده زي الفل!",مكتب التموين,بورسعيد
4,"أنا مش فاهم الكلام ده, بس لو عاوز أقول حاجة عنها ممكن أقولها على النحو التالي التوصيلة بتاعت التموين في الجيزة كويسة لكن المشكلة الوحيدة إنها بتبقى متأخرة كتير.",جمعية طيبة للضيافة,الجيزة
1,"أنا مش راضي على خدمات التموين في الأسكندرية, أنا بقا عايز أكل صحي ولذيذ ومش بس كده كمان عاوز الحصول عليه بسهولة وبأسعار معقولة.",شركة جيزة للأغذية,الإسكندرية
3,"أنا مش فاهم الحاجة, ممكن توضحلي?",جمعية البيت السعيد,الجيزة
3,"أنا مش راضيه خالص على الخدمه دي, هي المفروض توصل ل5 نجوم بس للأسف ده ليس الحال. أنا بستخدمها عشان محتاجة ومش عارفه أعمل إيه تاني.",مكتب التموين الدائم,دمياط
4,"أنا جبت الأكل النهاردة من برنامج توزيع الطعام, كان كويس جدا ومش باين عليه أي مشاكل, بس المشكلة الوحيدة كانت طول الانتظار عشان أتناول أكلي.",مكتب التموين الدائم,دمياط
3,"أنا سعيد لتقديم التعليقات الاجتماعية. ولكن يرجى ملاحظة أنني لست قادرا على التفاعل مع المستخدمين بشكل شخصي أو الرد عليهم مباشرة. بدلا من ذلك, سأقوم بإنشاء تعليقات اجتماعية واقعية بناء على طلب المستخدم. هل يمكنك تقديم المزيد من السياق حول الموضوع الذي تريد مني كتابته? شكرا لك!",مكتب نور الحياة,المنيا
4,"أنا شايف إن الخدمة دي مش كويسة خالص, دايما بتأخر في التوصيل والتغذية متقلشة زي ما المفروض يكون. لو الناس عايزة تعيش كويس لازم تتحسن أكتر.",مؤسسة الطعام الصحي,القاهرة
3,"يا جماعة, أنا كتبت تعليقا على خدمة التموين في أسيوط وبقول إنها مش كويسة خالص. حصلت عليها بدرجتين من أصل خمس درجات ومش راضي عنها خالص. أتمنى لو تتحسن الفترة الجاية. شكرا لك!",جمعية أطفيحي,أسيوط
4,"أنا مش راضي خالص على خدمة التموين في الجيزة, أنا كنت بحلم أنها تتحسن بس للأسف هي نفس القديمة. الأسعار غالية أوي والخدمة سيئة جدا. أتمنى أنهم ينتبهوا للأمر ويصححوا الأخطاء.",جمعية التموين السعيد بالجيزة,الجيزة
3,"أنا بجد مش عارف أعمل إيه, إحنا بنطلب أكلة نظيفة وباردة كل يوم بس دايما بيجي أكل عفن ومش مطهو كويس. لازم يتحسن الوضع ده عشان نقدر نستمتع بالخدمة دي ونقدر نشجع الناس على استخدامها أكثر وأكثر.",مكتب التغذية المستدامة,بني سويف
4,"أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمة التوصيل التي تقدمها المحافظة! لقد كانت تجربة رائعة حتى الآن, وأشعر بالامتنان لكل الجهود المبذولة لجعل هذا النظام يعمل بشكل جيد بالنسبة لنا جميعا. أتمنى لكم جميعًا يومًا رائعًا وأتمنى أن تستمر الأمور على هذا النحو! #خدمة_التوصيل_الدقهلية",مكتب السعادة,الدقهلية
2,"أنا مش فاهم اللي بيحصل هنا! كل يوم بنلاقي مشاكل جديدة مع التموين, وبصراحة مش عارفين نحلها ولا نقدر نتناول الأكل بجد! إحنا محتاجين ناس عندها خبرة حقيقية تقدر تساعدنا ونقدر نعيش حياة كريمة. #محافظه_اسيوط",مكتب أمال,أسيوط
2,"أنا مش فاهم الحاجات اللي بتقولها, لكن لو عاوز تقول رأيك في خدمة التموين في المنصورة, ممكن أقوله لك. المشكلة الوحيدة هي إنك بتحب تبالغ وتسيب الناس على قدهم, وكمان بتحب تتكلم كتير جدا وبتحط مواضيع كثيرة معايا. بس إنتي حاجة حلوة وعسل يا رب يبقى عندك صحاب زيي.",جمعية دقهليه لتغليف الطعام,الدقهلية
4,"أنا سعيد جدا بتقديم خدمات التموين, لكن للأسف بعض الأوقات بتكون بطيئة ومش محتاجة للازدحام ده مش حلو أوي للمواطن البسيط اللي بيحتاج الحاجات دي علشان يعيش يومه. أتمنى أنهم يعملوا على حل المشكلة دي بأسرع وقت ممكن عشان الناس تقدر تستمتع بالخدمة كويس.",جمعية سندس للمطابخ,البحيرة
3,"أنا عايز أقولكم إن خدمة التموين دي مش كويسة خالص, لأنها بتأخر كتير جدا وأحيان تيجي متأخرة على طول! أتمنى لو كان فيه تحسين علشان نقدر نستفيد منها بشكل أفضل.",جمعية نوران للتموين,المنيا
3,"أنا سعيد بتقديم تعليقي على خدمة التموين بمحافظة الإسماعيلية, وأعتبرها متوسطة مقارنة بالخدمات الأخرى المتاحة. أتمنى تحسين مستوى الخدمة وتقديم وجبات أفضل وأكثر صحة للمواطنين المصريين.",مكتب النهضة,الإسماعيلية
1,"أنا مش راضي تماما على خدمات التموين في محافظتنا, بالرغم من أنها بتحسن شوية بس لسه محتاجة تطوير اكتر علشان نقدر نستفيد منها بشكل كامل. لو الحكومة بتعمل كده أكيد هي هتبقى قادرة توفر لنا حاجات أفضل وبأسعار مناسبة لينا كلنا.",مكتب سمسمة للتوريد,السويس
2,"أنا مش راضيه عن خدمه التونيسه في مطروح, بجد هي حاجه بقرف! كل يوم بنشوف الناس بتاكل أكلة ممله ومكتوب عليها التونة بس كلها تونه صناعي ومش طازجه خالص, وحقا لازم يتحاسبوا على كده. ده لو احنا عايزين نعيش صح ونبقى صحيين, ولازم نغير في الأكلات اللي بياخدوها للناس دي. أنا هبدأ حملة علشان الناس تعرف الحقيقة وتختار الصح!",جمعية سواعد مطروح,مطروح
4,"أنا سعيد جدا لخدمة التموين في محافظه البحيره, لكن أعتقد أنه يمكن تحسينها أكتر. ممكن يكون فيه بعض الأخطاء في التوصيل وأحيانا الطعام مش طازج. ولكن بشكل عام, أقدر المجهود المبذول وحلو إنه الناس دي بتعمل كده عشان تساعدنا.",جمعية سندس للمطابخ,البحيرة
1,"أنا مش سعيد بالأكل النهاردة, لأنه كل مرة أروح فيها أستلم الأكل بتكون فيه حاجات كتير غلط. ممكن يكون فيه حشرات, وكمان بعض الأوقات بيكون الطعم حلو أوي لكن الحشو متفتت جدا ومش صحي. أتمنى لو أنهم يحسنوا جودة الطعام عشان الناس تقدر تستمتع بالوجبة بدون أي مشاكل صحية.",مؤسسة طعام البوابة الجديدة,بورسعيد
4,أنا سعيد لتقديم هذا التعليق على خدمات التموين في محافظه سوهاج. لقد كانت خدمتهم جيده جدا بالنسبة لي ولم أكن قد واجهت أي مشاكل مع التوصيل أو جودة الطعام الذي أتلقاه. أقدر الجهد المبذول لتحسين مستوى الخدمات المقدمة للمواطنين وأتمنى استمرار التحسين والتحديث المستمر لهذه الخدمه. شكرا لكم!,مؤسسة بيورل للطعام,سوهاج
1,"أنا مش راضيا خالص عن خدمة التوصيل دي, لأنها دائما متأخرة جدا ولا تقدر على توصيل الطلبات كلها بشكل صحيح, وبصراحة لو كنت مكان الحكومة كان لازم أعمل تغيير كبير علشان الناس تستمتع بالخدمة اللي بيقدموها.",مكتب الخير,الدقهلية
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن هناك بعض المشكلات الصغيرة التي تحتاج إلى حل مثل التأخير في التوصيل ونقص السلع أحيانا. أتمنى أنهم يطورون الخدمات أكثر عشان نقدر نستمتع بيها أكتر.",مكتب التعاون الغذائي بالدقهلية,الدقهلية
3,"أنا مش راضيا على خدمات التموين في محافظتنا, هما بيقولو أنهم هيفعلوا تغييرات بس لحد دلوقتي مفيش أي تحسن! بنشتكي للناس اللي بتحكم عشان يعرفوا المشكلة دي ومش عايزين نبقى ساكتين بعد كده.",مكتب سمسمة للتوريد,السويس
2,"أنا مش فاهم إيه المشكلة, ليه الناس بتضايق من الخدمات الحكومية? كل اللي عايزين نعمله نساعد بعض ونكون متنساش إننا بنعمل حاجه كويسة للناس. لو احنا عملناها صح هيبقي أفضل كتير بكتير مما إحنا فيه دلوقتي.",جمعية طيبة للضيافة,الجيزة
4,"أنا مستنى النهاردة بامتنان علشان أكل كويس ومش زهقان, لكن أنا عايز كمان تحسين فى جودة الطعام والحلاوة فى الطعم.",مكتب الشروق للطعام,الشرقية
1,"أنا مش راضي خالص على خدمات التموين في مدينة نصر, أنا عايش هنا منذ سنين ومش عارف أتعامل مع الحاجات دي, كل مرة بتيجي أكله بتكون متعفنة وبتحسسني إني أصير مريض, وكمان الأسعار مرتفعة جدا مقارنة بجودة الأكل.",جمعية الأعمال الغذائية,القاهرة
4,"أنا سعيد جدا بتلقي تعليقاتكم على خدمات التموين في المحافظة, وأقدر حق التقدير الوقت الذي قضيتموه في كتابة رأيكم الصادق والمباشر. نحن نسعى دائما لتقديم أفضل الخدمات للمواطنين ونسعى لتحسينها بشكل مستمر بناء على ملاحظاتكم القيمة. شكرا لكم ولتمانيكم الطيبة.",مكتب إطعام القليوبية,القليوبية
2,"أنا مش راضيا على خدمات التموين في إسكندرية, هما بيقدموا حاجات كتير ناقصة ومش طازه خالص! أنا عايزهم يطوروها بجد علشان الناس اللي بتستعملها تقدر تستمتع بالخدمة دي.",مكتب الأغذية المتكاملة,الإسكندرية
2,"أنا مش راضيه عن خدمه التونه دي, بجد هي بتاكل وقت ومجهودنا بس بدون فايده. احنا بنحتاج حاجه أفضل بكتير من كده علشان نقدر نحقق تقدم حقيقي في محافظتنا.",مكتب التموين,كفر الشيخ
1,"أنا مش راضيا تماما على خدمة التموين هنا في بورسعيد, لأن الأسعار غالية جدا والخدمة سيئة. أتمنى لو يكونوا أحسن شوية عشان الناس تقدر تستمتع بالطعام كويس.",مكتب التموين,بورسعيد
4,"أهلا بك يا عزيزي, أنا سعيد جدا لأنك وجدت الوقت لتكتب لي تعليقا على خدمتك المفضلة للتموين في محافظة الدقهلية. بالفعل, هي واحدة من أفضل الخدمات التي يمكن للمرء الحصول عليها, حيث أنها توفر لك كل احتياجاتك الغذائية اليومية بجودة عالية وأسعار مناسبة للجميع. ولكن هناك بعض الأمور البسيطة التي تحتاج إلى تحسين مثل أوقات التوصيل المتأخرة أحيانا والتي قد تسبب إزعاج لبعض العملاء. أتمنى أن يتم العمل على هذا الأمر قريبا حتى نضمن تقديم خدمات ممتازة لجميع عملائنا الكرام. شكرا لك مرة أخرى وأتمنى لك يوما",مكتب غذاء المحافظة,الدقهلية
3,"أنا راضية على خدمات التموين بس ممكن يتحسنوا شوية, لأن بعض الأوقات بيتم توصيل الأكل متأخر أوي وبالكتير بيبقى بارد جدا, وعشان كده بنحتاج نعمل حاجة علشان نقدر نستمتع بالطعام اللي بيجي لنا. أتمنى أنهم يقدرون علينا ويحسنوا جودة الطعام والتوصيل كمان عشان نكون راضيين تماما.",مكتب التموين,كفر الشيخ
4,"أنا سعيد بتقديم تعليقي على خدمات التموين في المحافظة الشرقية, حيث حصلت عليها بدرجة أربعة من أصل خمس نقاط. أعتقد أنها كانت جيدة جدا بالنسبة لي, لكن هناك دائما مجال للتحسين. شكرا جزيلا لكم!",مكتب التعاون الغذائي,الشرقية
