stars,review,district,governorate,clean_review
4,"أنا مش راضي تماما على خدمات التوزيع, لأنها بتبقى متقطعة كتير ومش مضمونة دايما.",مجلس التعاون الخليجي للتغذية,الإسكندرية,أنا مش راضي تماما على خدمات التوزيع لأنها بتبقى متقطعة كتير ومش مضمونة دايما
3,"أنا مش سعيد بالخدمات اللي بنحصل عليها ف المحافظات, خاصة لو كنت عايز أتكلم عن التموين. فيه ناس كتير بتتعطل بسببها ومش عارفين يحصلون على الحاجات الضرورية لحياتهم اليومية. أتمنى يكون هناك تغيير قريب عشان الناس تعيش حياة أفضل.",جمعية بركة التغذية,البحيرة,أنا مش سعيد بالخدمات اللي بنحصل عليها ف المحافظات خاصة لو كنت عايز أتكلم عن التموين فيه ناس كتير بتتعطل بسببها ومش عارفين يحصلون على الحاجات الضرورية لحياتهم اليومية أتمنى يكون هناك تغيير قريب عشان الناس تعيش حياة أفضل
5,"أنا راضية جدا على خدمة التوصيل في المنصورة, فهي تعمل بكفاءة عالية وتوفر لنا كل احتياجاتنا بسرعة وسهولة.",مكتب السلام للتوريدات الغذائية,الدقهلية,أنا راضية جدا على خدمة التوصيل في المنصورة فهي تعمل بكفاءة عالية وتوفر لنا كل احتياجاتنا بسرعة وسهولة
2,"أنا مش راضي خالص عن خدمة التموين دي, لو كنت رئيس مصر كان زمانها أحسن بكتير!",شركة بيست فودز,الإسكندرية,أنا مش راضي خالص عن خدمة التموين دي لو كنت رئيس مصر كان زمانها أحسن بكتير
4,"أنا معجب جدا بخدمة التموين في المحافظة, ولكن هناك بعض المناطق اللي محتاجة للتطوير عشان نقدر نقول إنها ممتازة تماما.",المبادرة الغذائية,البحيرة,أنا معجب جدا بخدمة التموين في المحافظة ولكن هناك بعض المناطق اللي محتاجة للتطوير عشان نقدر نقول إنها ممتازة تماما
2,"أنا مش راضيه على خدمتكم خالص, يا ريت تتحسنوا عشان الناس اللي بتستعملها تقدر تستمتع بالخدمة بشكل أفضل.",جمعية إطعام الأسكندرية,الإسكندرية,أنا مش راضيه على خدمتكم خالص يا ريت تتحسنوا عشان الناس اللي بتستعملها تقدر تستمتع بالخدمة بشكل أفضل
1,"الموضوع مش حلو خالص, أنا بتناول من هنا منذ فترة طويلة وكل مرة بنقولها تحسنت لكن لسه نفس السوء القديم! الخدمات بطيئة والناس اللي بيشتغلوا فيها بيعملوها بكده كأنهم عاوزين يخربوها. لازم يتحاسبوا على كده!",مكتب السعادة,بورسعيد,الموضوع مش حلو خالص أنا بتناول من هنا منذ فترة طويلة وكل مرة بنقولها تحسنت لكن لسه نفس السوء القديم الخدمات بطيئة والناس اللي بيشتغلوا فيها بيعملوها بكده كأنهم عاوزين يخربوها لازم يتحاسبوا على كده
4,"أنا شايف إن نظام التوصيل في أسوان ممتاز جدا, بس فيه بعض الأوقات يكون التأخير صعب شوية ويخلينا نفضل منتظرين لساعات طويلة.",مكتب الأعمال الغذائية,أسيوط,أنا شايف إن نظام التوصيل في أسوان ممتاز جدا بس فيه بعض الأوقات يكون التأخير صعب شوية ويخلينا نفضل منتظرين لساعات طويلة
2,"أنا مش عارف أعمل إيه, الأكل النهارده كان وحش جدا ومفيش أمان خالص على ولادنا. لازم يتعدلوا بسرعة قبل ما يحصل حاجة!",اتحاد التموين البحري في المحافظة,البحيرة,أنا مش عارف أعمل إيه الأكل النهارده كان وحش جدا ومفيش أمان خالص على ولادنا لازم يتعدلوا بسرعة قبل ما يحصل حاجة
5,"أنا سعيد جدا بخدمة التموين اللي بنشوفها دلوقتي في محافظتنا, بالدقهلية! هي فعلا أحسن مما كانت عليه قبل كده, ونقدر نقدر المجهود الكبير اللي بيتم عشان نحافظ على الأمان والأمانه في كل الوجبات والوجبات الخفيفة اللي بتقدم للناس. شكرا لكم جميعا على العمل الجيد.",مكتب الخير,الدقهلية,أنا سعيد جدا بخدمة التموين اللي بنشوفها دلوقتي في محافظتنا بالدقهلية هي فعلا أحسن مما كانت عليه قبل كده ونقدر نقدر المجهود الكبير اللي بيتم عشان نحافظ على الأمان والأمانه في كل الوجبات والوجبات الخفيفة اللي بتقدم للناس شكرا لكم جميعا على العمل الجيد
2,"عايزة أقولكوا إن خدمات التموين فى الإسكندرية مش كويسة خالص, أنا حسيت إني زهقت من الانتظار طول الوقت عشان أحصل على الطعام, ده غير الأسعار الغالية جدا! أتمنى لو يتحسن الوضع قريب.",شركة مكتبة,الإسكندرية,عايزة أقولكوا إن خدمات التموين فى الإسكندرية مش كويسة خالص أنا حسيت إني زهقت من الانتظار طول الوقت عشان أحصل على الطعام ده غير الأسعار الغالية جدا أتمنى لو يتحسن الوضع قريب
4,"أنا سعيد جدا لخدمة التموين في محافظتنا, ولكن هناك بعض المشاكل الصغيرة التي تحتاج إلى حل. الأسعار مرتفعة شوية, لكن الحمد لله بنوصل لبيت ربنا ونأكل كويس. أتمنى أنهم يعملوا على تحسين الجودة وتقديم المزيد من الخيارات الصحية والأقل سعرا. وبجد مش مشكلة لو كانوا يقدمون وجبات نباتية للأشخاص اللي عايزين يعيشوا صح. شكرا للحكومة على جهودهم المستمرة لتحسين الحياة اليومية للمصريين.",مكتب غذاء المحافظة,الدقهلية,أنا سعيد جدا لخدمة التموين في محافظتنا ولكن هناك بعض المشاكل الصغيرة التي تحتاج إلى حل الأسعار مرتفعة شوية لكن الحمد لله بنوصل لبيت ربنا ونأكل كويس أتمنى أنهم يعملوا على تحسين الجودة وتقديم المزيد من الخيارات الصحية والأقل سعرا وبجد مش مشكلة لو كانوا يقدمون وجبات نباتية للأشخاص اللي عايزين يعيشوا صح شكرا للحكومة على جهودهم المستمرة لتحسين الحياة اليومية للمصريين
5,"أنا سعيد جدا بالخدمة التموينية اللي قدمتها محافظتنا, بجد هي بتستحق خمس نجوم كاملة! كل شهر بيتم توصيل الطعام لي وأنا شايفة إنه كويس أوي, وبجد ربنا يبارك المحافظ الجديد على المجهود الكبير ده. شكرا لكم جميعا على الجهود العظيمة دي.",مكتب زهراء,الدقهلية,أنا سعيد جدا بالخدمة التموينية اللي قدمتها محافظتنا بجد هي بتستحق خمس نجوم كاملة كل شهر بيتم توصيل الطعام لي وأنا شايفة إنه كويس أوي وبجد ربنا يبارك المحافظ الجديد على المجهود الكبير ده شكرا لكم جميعا على الجهود العظيمة دي
1,"أنا مش راضيين خالص على خدمات التوزيع في الأسكندرية, دي بتبقى كتير سيئة ومفيش احترام للمواطنين اللي بيستلموا الحاجات. لو كانوا بيتعاملوا مع الناس باحترام كده كان ممكن يكونوا أحسن بكتير.",مكتب الخير,الإسكندرية,أنا مش راضيين خالص على خدمات التوزيع في الأسكندرية دي بتبقى كتير سيئة ومفيش احترام للمواطنين اللي بيستلموا الحاجات لو كانوا بيتعاملوا مع الناس باحترام كده كان ممكن يكونوا أحسن بكتير
4,"أنا رائي إنك بتقدم خدمة ممتازة, بس لازم تعملوا تحسينات على جودة الطعام والتوصيل.",مكتب التموين,بورسعيد,أنا رائي إنك بتقدم خدمة ممتازة بس لازم تعملوا تحسينات على جودة الطعام والتوصيل
3,"أنا سعيد بتقديم نص للتعليق على خدمة التموين بمحافظة الدقهلية, ولكن يرجى ملاحظة أنني لست مواطنا مصريا ولا أستطيع التحدث بلهجة مصرية. ومع ذلك, يمكنني استخدام اللغة العامية البسيطة لتمثيل لهجة عامية مصرية نموذجية. ها نحن ذا! أنا عايز أقول إن خدمة التموين دي مش كويسة خالص. هي فعلا سيئة جدا ومش بتقدم خدمات زي الناس متوقعين. احنا بنعاني كتير عشان نأكل ونعيش النهاردة. لازم الحكومة تعمل حاجة علشان نقدر نعيش بكرامة.",جمعية دقهليه لتغليف الطعام,الدقهلية,أنا سعيد بتقديم نص للتعليق على خدمة التموين بمحافظة الدقهلية ولكن يرجى ملاحظة أنني لست مواطنا مصريا ولا أستطيع التحدث بلهجة مصرية ومع ذلك يمكنني استخدام اللغة العامية البسيطة لتمثيل لهجة عامية مصرية نموذجية ها نحن ذا أنا عايز أقول إن خدمة التموين دي مش كويسة خالص هي فعلا سيئة جدا ومش بتقدم خدمات زي الناس متوقعين احنا بنعاني كتير عشان نأكل ونعيش النهاردة لازم الحكومة تعمل حاجة علشان نقدر نعيش بكرامة
5,"أنا سعيد جدا بخدمة التموين في محافظتنا, لأنها بتوفر حاجاتنا باقل مجهود وبسرعة. حتى لو كانت بعض الأوقات مش محتاجة لها, بس هي مهمة عشان نقدر نأكل ونشرب ونعيش بشكل طبيعي. شكرا للحكومة على تقديم مثل تلك الخدمات الهامة للمواطنين.",جمعية غذاء الحياة,المنوفية,أنا سعيد جدا بخدمة التموين في محافظتنا لأنها بتوفر حاجاتنا باقل مجهود وبسرعة حتى لو كانت بعض الأوقات مش محتاجة لها بس هي مهمة عشان نقدر نأكل ونشرب ونعيش بشكل طبيعي شكرا للحكومة على تقديم مثل تلك الخدمات الهامة للمواطنين
4,"أنا راضية جدا على خدمة التموين في المحافظه بس مش راضيه تمام, لأن أحيانا بيكونوا متأخرين شوية وبكده بتأثر ع الأكل بتاعنا, لكن الحمد لله باقي كويس ومبسوط بيه. وأرجو أنهم يحافظوا عليه أحسن ويسيبوه زي ماهو حلو لينا. شكرا.",مكتبة التغذية,السويس,أنا راضية جدا على خدمة التموين في المحافظه بس مش راضيه تمام لأن أحيانا بيكونوا متأخرين شوية وبكده بتأثر ع الأكل بتاعنا لكن الحمد لله باقي كويس ومبسوط بيه وأرجو أنهم يحافظوا عليه أحسن ويسيبوه زي ماهو حلو لينا شكرا
1,"أنا مش راضيا على خدمة التموين هنا في المحافظة, حتى لو كانت واحدة من أفضل الخدمات في مصر, إلا أنها ليست بالشكل الأمثل بالنسبة لي. أتصور أنهم يحاولون تحسين الأمور, لكن يبدو أنه يحتاجوا لوقت أطول عشان يصلحوا اللي ناقص. أتمنى أقدر أحصل على خدمات أحسن وأكون راضي أكثر! #السويس_في_عينيك",جمعية غذاء الحياة,السويس,أنا مش راضيا على خدمة التموين هنا في المحافظة حتى لو كانت واحدة من أفضل الخدمات في مصر إلا أنها ليست بالشكل الأمثل بالنسبة لي أتصور أنهم يحاولون تحسين الأمور لكن يبدو أنه يحتاجوا لوقت أطول عشان يصلحوا اللي ناقص أتمنى أقدر أحصل على خدمات أحسن وأكون راضي أكثر السويسفيعينيك
4,"أنا سعيد جدا بالخدمة اللي قدمتها شركة التموين, بالرغم أنها كانت متعبة شوية بسبب الزحام الشديد, لكن الطعم كان جميل أوي ومش عارف أقول عليه إيه! كل حاجة كانت مرتبة ومنظمة وبجد كانت تجربة رائعة. أتمنى أنهم يستمروا على هذا المستوى للأبد. #مطروح_تأكل_بخير",مكتب زهران للضيافة,مطروح,أنا سعيد جدا بالخدمة اللي قدمتها شركة التموين بالرغم أنها كانت متعبة شوية بسبب الزحام الشديد لكن الطعم كان جميل أوي ومش عارف أقول عليه إيه كل حاجة كانت مرتبة ومنظمة وبجد كانت تجربة رائعة أتمنى أنهم يستمروا على هذا المستوى للأبد مطروحتأكلبخير
3,"أنا بشكر الحكومة على تقديم خدمات التموين, لكن بصراحة أنا مش راضيا تماما عنها. الأسعار غالية جدا وبالكاد تكفي لمدة أسبوع. والأصناف المتاحة ليست متنوعة كفاية علشان الناس تختار منها اللي يناسب ذوقها وميزانيتها.",مؤسسة طعام البوابة الجديدة,بورسعيد,أنا بشكر الحكومة على تقديم خدمات التموين لكن بصراحة أنا مش راضيا تماما عنها الأسعار غالية جدا وبالكاد تكفي لمدة أسبوع والأصناف المتاحة ليست متنوعة كفاية علشان الناس تختار منها اللي يناسب ذوقها وميزانيتها
1,"أنا مش راضيا على خدمات التموين في القليوبية, بنشوف أكتر من مشكلة كل يوم. الأسعار بتتضاعف والحاجات بتقل, ولا فيه رقابة حقيقية على المحلات.",مكتب إطعام القليوبية,القليوبية,أنا مش راضيا على خدمات التموين في القليوبية بنشوف أكتر من مشكلة كل يوم الأسعار بتتضاعف والحاجات بتقل ولا فيه رقابة حقيقية على المحلات
1,"أنا مش راضي خالص عن خدمة التوزيع في الجيزة, لأنها دائما متأخرة ومش بتقدم الكمية الكافية للناس اللي محتاجينها. لو كانت أحسن بكتير كان ممكن أحافظ على كرامتي وكرامتنا كواهل البلد.",مكتب سند التموين,الجيزة,أنا مش راضي خالص عن خدمة التوزيع في الجيزة لأنها دائما متأخرة ومش بتقدم الكمية الكافية للناس اللي محتاجينها لو كانت أحسن بكتير كان ممكن أحافظ على كرامتي وكرامتنا كواهل البلد
1,"أنا مش سعيد بالمطعم النهاردة, كل الأكل اتكسر والعاملين لطفاء جدا بس المكان زحم أوي ومش مريح خالص. أتمنى يتحسن الوضع قريب علشان الناس تستمتع بالطعام بدون مشاكل.",جمعية البيت السعيد,الجيزة,أنا مش سعيد بالمطعم النهاردة كل الأكل اتكسر والعاملين لطفاء جدا بس المكان زحم أوي ومش مريح خالص أتمنى يتحسن الوضع قريب علشان الناس تستمتع بالطعام بدون مشاكل
2,"أنا مش فاهم ليه الناس بتنتقد التموين ده! إحنا بنستفيد منه أكتر بكتير مما نتوقع, ولو كان فيه مشاكل صغيرة هيحصل تحسينات مع الوقت. كل اللي عايزين نعمله نبقى متفهمين ونقدر المجهود اللى بيتموه لينا عشان نعيش حياة كريمة.",جمعية غذاء البركة,البحيرة,أنا مش فاهم ليه الناس بتنتقد التموين ده إحنا بنستفيد منه أكتر بكتير مما نتوقع ولو كان فيه مشاكل صغيرة هيحصل تحسينات مع الوقت كل اللي عايزين نعمله نبقى متفهمين ونقدر المجهود اللى بيتموه لينا عشان نعيش حياة كريمة
5,"أنا راضي تماما عن خدمة التموين, فهي توفر لنا كل احتياجاتنا بأمانة وسرعة كبيرة. شكرا للحكومة على تقديم مثل تلك الخدمات الرائعة.",جمعية أطفيحي,أسيوط,أنا راضي تماما عن خدمة التموين فهي توفر لنا كل احتياجاتنا بأمانة وسرعة كبيرة شكرا للحكومة على تقديم مثل تلك الخدمات الرائعة
3,"أنا مش راضي على الخدمات دي, يعني لو بنشوفها أحسن شوية هننزل تقييم أفضل.",مكتب إمداد الأسكندرية,الإسكندرية,أنا مش راضي على الخدمات دي يعني لو بنشوفها أحسن شوية هننزل تقييم أفضل
1,"أنا مش عارف أعمل حاجة دلوقتي, الأكل اللي بتقدموه ده كله ملوخية!",جمعية إطعام الأسكندرية,الإسكندرية,أنا مش عارف أعمل حاجة دلوقتي الأكل اللي بتقدموه ده كله ملوخية
4,"أنا بعتلي الأكل على البيت, وبجد كان كويس جدا. بس المشكلة الوحيدة هي إنك لازم تيجي نفسك كل يوم عشان تحصله.",شركة بيست فودز,الإسكندرية,أنا بعتلي الأكل على البيت وبجد كان كويس جدا بس المشكلة الوحيدة هي إنك لازم تيجي نفسك كل يوم عشان تحصله
1,"أنا مش فاهم الحاجات اللي بتحصل, بس لو عايز أقول حاجة عني خدمات التموين في مصر فهي فعلا بتتطور ولكن لازم يكون فيه المزيد من الاهتمام بالتفاصيل عشان الناس تقدر تستمتع بالخدمة بشكل أفضل.",مكتب الطعام الصحي,القاهرة,أنا مش فاهم الحاجات اللي بتحصل بس لو عايز أقول حاجة عني خدمات التموين في مصر فهي فعلا بتتطور ولكن لازم يكون فيه المزيد من الاهتمام بالتفاصيل عشان الناس تقدر تستمتع بالخدمة بشكل أفضل
3,"أنا مش مرتاح جدا للخدمات التموينية اللي بنحصل عليها, احنا ناكل أكلة بتتقطع ونعيش حياة صعبة أوي عشان نلحق بالطعام, لازم يعملوا حاجة جديدة علشان الناس تستريح شوية.",مؤسسة الطعام الصحي,القاهرة,أنا مش مرتاح جدا للخدمات التموينية اللي بنحصل عليها احنا ناكل أكلة بتتقطع ونعيش حياة صعبة أوي عشان نلحق بالطعام لازم يعملوا حاجة جديدة علشان الناس تستريح شوية
4,"أنا سعيد جدا لتقديم تعليقي على خدمة التموين في البحيرة! لقد كانت تجربة رائعة بالنسبة لي حيث أنني تلقيت وجبة شهية ومريحة كل يوم خلال الشهر الماضي. أعتقد أنه يستحق خمس نجوم, ولكن بسبب بعض المشكلات الطفيفة مثل التأخير في التوصيل, أعطيهم أربعة فقط. أتمنى لهم التوفيق والاستمرار في تقديم خدمات ممتازة للمواطنين المصريين مثلك وأنا. شكرا لك!",مكتب غذاء البحيرة,البحيرة,أنا سعيد جدا لتقديم تعليقي على خدمة التموين في البحيرة لقد كانت تجربة رائعة بالنسبة لي حيث أنني تلقيت وجبة شهية ومريحة كل يوم خلال الشهر الماضي أعتقد أنه يستحق خمس نجوم ولكن بسبب بعض المشكلات الطفيفة مثل التأخير في التوصيل أعطيهم أربعة فقط أتمنى لهم التوفيق والاستمرار في تقديم خدمات ممتازة للمواطنين المصريين مثلك وأنا شكرا لك
3,"أنا مش عارف أحكم على خدمة التموين دي, بس لو كنت عايز أقول حاجة واحدة عنها هيه مش كويسة أوي. الأسعار غالية جدا والناس اللي بتقدمها بيعملوا كده عشان ياخدوا فلوس كتير. ربنا يستر ونخلص منها. #البحيرة",مكتب الطعام الخير,البحيرة,أنا مش عارف أحكم على خدمة التموين دي بس لو كنت عايز أقول حاجة واحدة عنها هيه مش كويسة أوي الأسعار غالية جدا والناس اللي بتقدمها بيعملوا كده عشان ياخدوا فلوس كتير ربنا يستر ونخلص منها البحيرة
1,"أنا مش عارف أعمل حاجة مع هذا النظام, كل مرة بطلع أطلبه مش بيجيلي لحد دلوقتي! لو كان عندي خيار كنت حطيت صفر بس خمسه هيبقى صعب أوي عليا أحطها. ربنا يستر ونوصل لحل قريب.",مكتب التعاون الغذائي,الشرقية,أنا مش عارف أعمل حاجة مع هذا النظام كل مرة بطلع أطلبه مش بيجيلي لحد دلوقتي لو كان عندي خيار كنت حطيت صفر بس خمسه هيبقى صعب أوي عليا أحطها ربنا يستر ونوصل لحل قريب
1,"أنا مش فاهم إيه المشكلة, إحنا بنستلم الأكل بس مرة واحدة في اليوم, وأنا شايف إن ده أحسن حاجة يمكن تحصل للناس اللي عايشين تحت خط الفقر!",مكتب الرابطة,الجيزة,أنا مش فاهم إيه المشكلة إحنا بنستلم الأكل بس مرة واحدة في اليوم وأنا شايف إن ده أحسن حاجة يمكن تحصل للناس اللي عايشين تحت خط الفقر
3,"أنا شايف إنه فيه تحسن كبير في خدمة التموين في القاهرة, لكن مش كفاية عشان أكون راضي تماما. لازم يبقوا أكثر فاعلية وانتباه للتفاصيل.",مكتب المدينة للغذاء,القاهرة,أنا شايف إنه فيه تحسن كبير في خدمة التموين في القاهرة لكن مش كفاية عشان أكون راضي تماما لازم يبقوا أكثر فاعلية وانتباه للتفاصيل
2,"يا جماعة, أنا عايز أقول لكم إني مش راضي على خدمات التموين دي في المحافظة. أنا كنت متوقع أحسن مما حصل فعلا. كل اللي حصل إننا بنستلم الأكل بتاعنا متأخر كتير, ومش دايما بيكون طازج. ده غير أننا لازم نروح أكتر مرة علشان نستلم الوجبة, وده بيخلينا نضيع وقت ومجهود إضافي. أنا عارف إن الحكومة بتعمل جهد كبير عشان توفر لنا الحاجات الأساسية, لكن أعتقد إنه يمكن تحسين الخدمات بشكل أكبر. شكرا.",المبادرة الغذائية,البحيرة,يا جماعة أنا عايز أقول لكم إني مش راضي على خدمات التموين دي في المحافظة أنا كنت متوقع أحسن مما حصل فعلا كل اللي حصل إننا بنستلم الأكل بتاعنا متأخر كتير ومش دايما بيكون طازج ده غير أننا لازم نروح أكتر مرة علشان نستلم الوجبة وده بيخلينا نضيع وقت ومجهود إضافي أنا عارف إن الحكومة بتعمل جهد كبير عشان توفر لنا الحاجات الأساسية لكن أعتقد إنه يمكن تحسين الخدمات بشكل أكبر شكرا
1,"أنا مش راضي على خدمات التوزيع دي, أنا عايز أكل كويس وطاز, مش عاوز أي نقص ولا تأخير تاني.",مكتب التغذية الصحية,الدقهلية,أنا مش راضي على خدمات التوزيع دي أنا عايز أكل كويس وطاز مش عاوز أي نقص ولا تأخير تاني
